title,date,description,googleDriveLink
Hackathon 2024,"November 21, 2024","Join us for a 24-hour coding marathon! Prizes and swag included. Be sure to register early! Be there or be square!"
AI Workshop,"December 22, 2024","Discover the fundamentals of Artificial Intelligence in this hands-on workshop. Learn about machine learning, neural networks, and AI applications. Perfect for beginners and enthusiasts looking to dive into the world of AI. Discover the fundamentals of Artificial Intelligence in this hands-on workshop. Learn about machine learning, neural networks, and AI applications. Perfect for beginners and enthusiasts looking to dive into the world of AI."
Web Development Bootcamp,"January 23, 2025","A comprehensive bootcamp on modern web development."
Cybersecurity Seminar,"February 15, 2025","Understand the fundamentals of cybersecurity."
Data Science Conference,"March 10, 2025","Explore the world of data science and analytics."

Intro to Python,"October 1, 2024","A beginner-friendly introduction to Python programming.",https://drive.google.com/drive/folders/introtopython
JavaScript Essentials,"September 15, 2024","Learn the essentials of JavaScript for web development.",https://drive.google.com/drive/folders/javascriptessentials
Machine Learning 101,"September 1, 2024","An introductory course on machine learning concepts.",https://drive.google.com/drive/folders/machinelearning101
Cloud Computing Basics,"August 20, 2024","Understand the basics of cloud computing.",https://drive.google.com/drive/folders/cloudcomputingbasics
Blockchain Technology,"August 5, 2024","Explore the fundamentals of blockchain technology.",https://drive.google.com/drive/folders/blockchaintechnology
Advanced Java,"July 25, 2024","Deep dive into advanced Java programming concepts.",https://drive.google.com/drive/folders/advancedjava
React Native Workshop,"July 10, 2024","Build mobile apps using React Native.",https://drive.google.com/drive/folders/reactnativeworkshop
DevOps Practices,"June 30, 2024","Learn about modern DevOps practices and tools.",https://drive.google.com/drive/folders/devopspractices
Intro to SQL,"June 15, 2024","A beginner-friendly introduction to SQL databases.",https://drive.google.com/drive/folders/introtosql
Mobile App Development,"June 1, 2024","Learn how to develop mobile applications.",https://drive.google.com/drive/folders/mobileappdevelopment
Game Development with Unity,"May 20, 2024","Create games using the Unity game engine.",https://drive.google.com/drive/folders/gamedevelopmentwithunity
Intro to Algorithms,"May 5, 2024","Understand the basics of algorithms and data structures.",https://drive.google.com/drive/folders/introtalgorithms
Networking Fundamentals,"April 25, 2024","Learn the fundamentals of computer networking.",https://drive.google.com/drive/folders/networkingfundamentals
Software Testing,"April 10, 2024","An introduction to software testing methodologies.",https://drive.google.com/drive/folders/softwaretesting
Intro to HTML & CSS,"March 30, 2024","Learn the basics of HTML and CSS for web development.",https://drive.google.com/drive/folders/introtohtmlcss
Agile Methodologies,"March 15, 2024","Understand the principles of Agile software development.",https://drive.google.com/drive/folders/agilemethodologies
Intro to C++,"March 1, 2024","A beginner-friendly introduction to C++ programming.",https://drive.google.com/drive/folders/introtocpp
Full Stack Development,"February 20, 2024","Learn full stack web development with MERN stack.",https://drive.google.com/drive/folders/fullstackdevelopment
Data Visualization,"February 5, 2024","Create stunning data visualizations with D3.js.",https://drive.google.com/drive/folders/datavisualization
Intro to Git & GitHub,"January 25, 2024","Learn version control with Git and GitHub.",https://drive.google.com/drive/folders/introtogitgithub
